Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
334.0,Bruno Fernando,26.0,TOR,C,6.0,0.0,7.3,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,0.7,0.7,1.0,1.5,1.5,3.0,0.7,0.2,0.5,1.0,1.8,2.7,
335.0,Alex Caruso,30.0,OKC,PG,8.0,0.0,19.9,1.1,4.8,0.237,0.4,2.6,0.143,0.8,2.1,0.353,0.276,0.0,0.1,0.0,0.6,2.3,2.9,2.5,2.0,0.8,0.8,2.9,2.6,
336.0,Matas Buzelis,20.0,CHI,SF,8.0,0.0,9.0,0.9,3.0,0.292,0.4,1.4,0.273,0.5,1.6,0.308,0.354,0.4,0.5,0.75,0.6,1.4,2.0,0.4,0.6,0.4,0.5,0.8,2.5,
337.0,Jeff Green,38.0,HOU,PF,2.0,0.0,4.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.25,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,2.5,
338.0,Bones Hyland,24.0,LAC,PG,2.0,0.0,4.0,1.0,2.5,0.4,0.5,1.0,0.5,0.5,1.5,0.333,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,2.5,
339.0,Maxi Kleber,33.0,DAL,PF,2.0,0.0,15.5,1.0,2.5,0.4,0.5,1.0,0.5,0.5,1.5,0.333,0.5,0.0,0.0,,0.0,2.5,2.5,1.5,0.0,0.5,0.0,1.5,2.5,
340.0,Tristan Thompson,33.0,CLE,PF,4.0,0.0,5.8,1.3,1.5,0.833,0.0,0.0,,1.3,1.5,0.833,0.833,0.0,1.3,0.0,0.0,1.3,1.3,0.3,0.0,0.0,0.5,0.3,2.5,
341.0,Ja'Kobe Walter,20.0,TOR,SG,4.0,0.0,12.3,0.8,4.0,0.188,0.3,1.5,0.167,0.5,2.5,0.2,0.219,0.8,1.3,0.6,1.0,1.8,2.8,0.8,0.0,0.3,0.0,2.0,2.5,
342.0,Kai Jones,24.0,LAC,C,8.0,0.0,8.9,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.4,0.6,0.6,1.1,0.9,2.0,0.4,0.0,0.8,0.4,0.9,2.4,
343.0,Doug McDermott,33.0,SAC,SF,5.0,1.0,5.8,0.6,1.8,0.333,0.6,1.6,0.375,0.0,0.2,0.0,0.5,0.6,1.0,0.6,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.8,2.4,
344.0,Vasilije MiciÄ,31.0,CHO,PG,3.0,0.0,15.0,1.0,6.0,0.167,0.3,2.3,0.143,0.7,3.7,0.182,0.194,0.0,0.0,,1.7,2.0,3.7,1.0,0.3,0.0,1.3,0.7,2.3,
345.0,Hunter Tyson,24.0,DEN,PF,5.0,0.0,13.2,0.8,2.0,0.4,0.0,1.0,0.0,0.8,1.0,0.8,0.4,0.6,0.6,1.0,0.2,2.0,2.2,0.8,0.4,0.2,0.4,1.8,2.2,
346.0,Xavier Tillman Sr.,26.0,BOS,PF,7.0,0.0,12.3,0.9,2.9,0.3,0.4,1.6,0.273,0.4,1.3,0.333,0.375,0.0,0.0,,0.9,2.0,2.9,0.9,0.4,0.0,0.4,0.9,2.1,
347.0,Delon Wright,32.0,MIL,PG,7.0,0.0,13.0,0.9,2.0,0.429,0.4,1.0,0.429,0.4,1.0,0.429,0.536,0.0,0.0,,0.0,0.6,0.6,0.9,0.3,0.3,0.4,0.9,2.1,
348.0,Ulrich Chomche,19.0,TOR,PF,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
349.0,Enrique Freeman,24.0,IND,PF,2.0,0.0,8.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,1.0,2.0,
350.0,Aaron Holiday,28.0,HOU,PG,3.0,0.0,8.3,0.7,2.0,0.333,0.7,1.7,0.4,0.0,0.3,0.0,0.5,0.0,0.0,,0.0,0.3,0.3,1.7,0.3,0.0,0.3,0.0,2.0,
351.0,Quenton Jackson,26.0,IND,PG,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,
