RK,NAME,TEAM,SALARY,YEAR,Pos
261,Kyle Lowry,Houston Rockets,2034996,2010,PG
262,Julian Wright,New Orleans Hornets,2000040,2010,SF
263,Jannero Pargo,Chicago Bulls,1990000,2010,PG
264,Ronald Murray,Chicago Bulls,1990000,2010,SG
265,Rasho Nesterovic,Toronto Raptors,1990000,2010,C
266,Fabricio Oberto,Washington Wizards,1990000,2010,C
267,Marquis Daniels,Boston Celtics,1990000,2010,SG
268,Shannon Brown,Los Angeles Lakers,1990000,2010,PG
269,Channing Frye,Phoenix Suns,1990000,2010,F
270,Gerald Henderson,Charlotte Bobcats,1957080,2010,SG
271,Jordan Farmar,Los Angeles Lakers,1947240,2010,PG
272,Al Thornton,Washington Wizards,1900200,2010,SF
273,Mardy Collins,LA Clippers,1867742,2010,PG
274,Tyler Hansbrough,Indiana Pacers,1859160,2010,PF
275,Anthony Randolph,Golden State Warriors,1837560,2010,SF
276,Goran Dragic,Phoenix Suns,1836000,2010,PG
277,Rodney Stuckey,Detroit Pistons,1805040,2010,PG
278,Antoine Wright,Toronto Raptors,1800000,2010,SF
279,Earl Clark,Phoenix Suns,1766280,2010,SF
280,Robin Lopez,Phoenix Suns,1745520,2010,C
281,Nick Young,Washington Wizards,1714800,2010,G
282,Francisco Elson,Philadelphia 76ers,1700000,2010,C
283,Austin Daye,Detroit Pistons,1677840,2010,SF
284,Marreese Speights,Philadelphia 76ers,1658280,2010,F
285,J.J. Barea,Dallas Mavericks,1657500,2010,G
286,Sean Williams,New Jersey Nets,1629120,2010,PF
287,Hamed Ehaddadi,Memphis Grizzlies,1627779,2010,C
288,Solomon Jones,Indiana Pacers,1620000,2010,PF
289,Matt Barnes,Orlando Magic,1600000,2010,SF
290,Devean George,Golden State Warriors,1600000,2010,SF
291,James Johnson,Chicago Bulls,1594080,2010,PF
292,Roy Hibbert,Indiana Pacers,1575360,2010,C
293,Marco Belinelli,Toronto Raptors,1547640,2010,G
294,Oleksiy Pecherov,Minnesota Timberwolves,1547640,2010,C
295,Jrue Holiday,Philadelphia 76ers,1514280,2010,PG
296,Sasha Pavlovic,Minnesota Timberwolves,1500000,2010,SG
297,JaVale McGee,Washington Wizards,1496640,2010,C
298,Javaris Crittenton,Washington Wizards,1477920,2010,PG
299,Ty Lawson,Denver Nuggets,1438680,2010,G
300,JJ Hickson,Cleveland Cavaliers,1429200,2010,C
301,Jason Smith,Philadelphia 76ers,1418880,2010,F
302,Jeff Teague,Atlanta Hawks,1373880,2010,PG
303,Alexis Ajinca,Charlotte Bobcats,1372080,2010,C
304,Daequan Cook,Miami Heat,1362120,2010,SG
305,Roko-Leni Ukic,Milwaukee Bucks,1350000,2010,PG
306,Eric Maynor,Oklahoma City Thunder,1318920,2010,PG
307,Ryan Anderson,Orlando Magic,1317120,2010,PF
308,Jared Dudley,Phoenix Suns,1307640,2010,SF
309,Malik Allen,Denver Nuggets,1300000,2010,PF
310,Darren Collison,New Orleans Hornets,1266120,2010,PG
311,Courtney Lee,New Jersey Nets,1264440,2010,G
312,Wilson Chandler,New York Knicks,1255440,2010,F
313,Ronnie Price,Utah Jazz,1250000,2010,PG
314,Kosta Koufos,Utah Jazz,1214040,2010,C
315,Omri Casspi,Sacramento Kings,1167000,2010,F
316,Byron Mullens,Oklahoma City Thunder,1120200,2010,C
317,Serge Ibaka,Oklahoma City Thunder,1120200,2010,F
318,Nicolas Batum,Portland Trail Blazers,1118760,2010,PF
319,Aaron Brooks,Houston Rockets,1118520,2010,G
320,Devin Brown,Chicago Bulls,1107572,2010,SG
321,Arron Afflalo,Denver Nuggets,1086240,2010,G
322,George Hill,San Antonio Spurs,1081680,2010,PG
323,Rodrigue Beaubois,Dallas Mavericks,1075440,2010,PG
324,Alando Tucker,Minnesota Timberwolves,1071720,2010,SF
325,Darrell Arthur,Memphis Grizzlies,1050480,2010,F
326,Chris Quinn,New Jersey Nets,1050387,2010,PG
327,Royal Ivey,Milwaukee Bucks,1050000,2010,PG
328,Taj Gibson,Chicago Bulls,1039800,2010,F
329,D.J. White,Oklahoma City Thunder,1036440,2010,PF
330,Quinton Ross,Washington Wizards,1033342,2010,SF
331,Steve Novak,LA Clippers,1031000,2010,SF
332,James Singleton,Washington Wizards,1030189,2010,F
333,J.R. Giddens,New York Knicks,1028880,2010,SG
334,DeMarre Carroll,Memphis Grizzlies,1009680,2010,F
335,Wayne Ellington,Minnesota Timberwolves,1003560,2010,SG
336,C.J. Watson,Golden State Warriors,1000497,2010,PG
337,Aaron Gray,New Orleans Hornets,1000497,2010,C
338,Toney Douglas,New York Knicks,996240,2010,PG
339,Ian Mahinmi,San Antonio Spurs,989670,2010,C
340,Didier Ilunga-Mbenga,Los Angeles Lakers,959111,2010,C
341,Josh Powell,Los Angeles Lakers,959111,2010,PF
342,Yakhouba Diawara,Miami Heat,945000,2010,SG
343,Zydrunas Ilgauskas,Cleveland Cavaliers,925000,2010,C
344,Salim Stoudamire,Atlanta Hawks,884881,2010,SG
345,Kyle Weaver,Oklahoma City Thunder,870968,2010,SG
346,Kyrylo Fesenko,Utah Jazz,870000,2010,C
347,Donte Greene,Sacramento Kings,870000,2010,SF
348,Patrick O'Bryant,Toronto Raptors,855189,2010,C
349,Leon Powe,Cleveland Cavaliers,855189,2010,PF
350,Quincy Douby,Sacramento Kings,855189,2010,SG
351,Marcus Haislip,San Antonio Spurs,855189,2010,F
352,Lou Amundson,Phoenix Suns,855189,2010,PF
353,Mouhamed Sene,New York Knicks,855189,2010,C
354,Anthony Roberson,Chicago Bulls,855189,2010,SG
355,Tarence Kinsey,Golden State Warriors,855189,2010,SG
356,Randolph Morris,Atlanta Hawks,855189,2010,C
357,DeJuan Blair,San Antonio Spurs,850000,2010,C
358,Sean Marks,New Orleans Hornets,825497,2010,PF
359,Jason Williams,Orlando Magic,825497,2010,PG
360,Brian Skinner,LA Clippers,825497,2010,PF
361,Jamaal Magloire,Miami Heat,825497,2010,C
362,Paul Davis,Washington Wizards,825497,2010,C
363,Dominic McGuire,Sacramento Kings,825497,2010,PF
